matchId,homeScore,awayScore,status
2026-WC-GS-001,2,0,completed
2026-WC-GS-002,2,1,completed
2026-WC-GS-003,1,1,completed
2026-WC-GS-004,4,1,completed
2026-WC-GS-005,1,1,completed
2026-WC-GS-006,1,1,completed
2026-WC-GS-007,0,1,completed
2026-WC-GS-008,2,0,completed
2026-WC-GS-009,7,1,completed
2026-WC-GS-010,1,0,completed
2026-WC-GS-011,2,2,completed
2026-WC-GS-012,5,1,completed
2026-WC-GS-013,1,1,completed
2026-WC-GS-014,2,2,completed
2026-WC-GS-015,0,0,completed
2026-WC-GS-016,1,1,completed
2026-WC-GS-017,3,1,completed
2026-WC-GS-018,1,4,completed
2026-WC-GS-019,3,0,completed
2026-WC-GS-020,3,1,completed
2026-WC-GS-021,1,1,completed
2026-WC-GS-022,1,3,completed
2026-WC-GS-023,4,2,completed
2026-WC-GS-024,1,0,completed
2026-WC-GS-025,1,1,completed
2026-WC-GS-026,1,0,completed
2026-WC-GS-027,4,1,completed
2026-WC-GS-028,6,0,completed
2026-WC-GS-029,0,1,completed
2026-WC-GS-030,3,0,completed
2026-WC-GS-031,2,0,completed
2026-WC-GS-032,0,1,completed
2026-WC-GS-033,2,1,completed
2026-WC-GS-034,0,0,completed
2026-WC-GS-035,5,1,completed
2026-WC-GS-036,0,4,completed
2026-WC-GS-037,0,0,completed
2026-WC-GS-038,1,3,completed
2026-WC-GS-039,4,0,completed
2026-WC-GS-040,2,2,completed
2026-WC-GS-041,3,0,completed
2026-WC-GS-042,3,2,completed
2026-WC-GS-043,2,0,completed
2026-WC-GS-044,1,2,completed
2026-WC-GS-045,5,0,completed
2026-WC-GS-046,1,0,completed
2026-WC-GS-047,0,0,completed
2026-WC-GS-048,0,1,completed
2026-WC-GS-049,3,0,completed
2026-WC-GS-050,1,0,completed
2026-WC-GS-051,1,2,completed
2026-WC-GS-052,3,1,completed
2026-WC-GS-053,0,3,completed
2026-WC-GS-054,4,2,completed
2026-WC-GS-055,2,3,completed
2026-WC-GS-056,0,0,completed
2026-WC-GS-057,0,2,completed
2026-WC-GS-058,2,1,completed
2026-WC-GS-059,1,1,completed
2026-WC-GS-060,1,3,completed
2026-WC-GS-061,1,1,completed
2026-WC-GS-062,1,5,completed
2026-WC-GS-063,0,0,completed
2026-WC-GS-064,0,1,completed
2026-WC-GS-065,1,4,completed
2026-WC-GS-066,5,0,completed
2026-WC-GS-067,3,3,completed
2026-WC-GS-068,1,3,completed
2026-WC-GS-069,0,0,completed
2026-WC-GS-070,3,1,completed
2026-WC-GS-071,0,2,completed
2026-WC-GS-072,2,1,completed
