matchId,date,homeTeam,awayTeam,city,country,venue,temperatureMaxC,temperatureMinC,precipitationMm,windMaxKmh,source,sourceUrl,fetchedAt
2026-WC-GS-045,2026-06-23,Portugal,Uzbekistan,Houston,United States,NRG Stadium,34.4,27,0,17.6,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=29.6847&longitude=-95.4107&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-23&end_date=2026-06-23",2026-06-23T05:25:09.721Z
2026-WC-GS-046,2026-06-23,Colombia,DR Congo,Guadalajara,Mexico,Guadalajara Stadium,25.9,15.8,0.9,15.9,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=20.6817&longitude=-103.4626&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-23&end_date=2026-06-23",2026-06-23T05:25:09.721Z
2026-WC-GS-047,2026-06-23,England,Ghana,Boston,United States,Boston Stadium,22,17.3,0.7,18.5,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-23&end_date=2026-06-23",2026-06-23T05:25:09.721Z
2026-WC-GS-048,2026-06-23,Panama,Croatia,Toronto,Canada,BMO Field,24.1,10,0,16.6,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=43.6327&longitude=-79.4186&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-23&end_date=2026-06-23",2026-06-23T05:25:09.721Z
2026-WC-GS-049,2026-06-24,Mexico,Czech Republic,Mexico City,Mexico,Estadio Azteca,20.4,14.3,22.6,8.8,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=19.3029&longitude=-99.1505&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-24&end_date=2026-06-24",2026-06-23T05:25:09.721Z
2026-WC-GS-050,2026-06-24,South Africa,South Korea,Monterrey,Mexico,Monterrey Stadium,34.1,23.3,0,29.4,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=25.6681&longitude=-100.244&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-24&end_date=2026-06-24",2026-06-23T05:25:09.721Z
2026-WC-GS-051,2026-06-24,Canada,Switzerland,Vancouver,Canada,BC Place,26.2,16.6,0,17.2,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=49.2767&longitude=-123.1119&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-24&end_date=2026-06-24",2026-06-23T05:25:09.721Z
2026-WC-GS-052,2026-06-24,Bosnia and Herzegovina,Qatar,Seattle,United States,Lumen Field,29.2,16.7,0,11.5,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=47.5952&longitude=-122.3316&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-24&end_date=2026-06-24",2026-06-23T05:25:09.721Z
2026-WC-GS-053,2026-06-24,Scotland,Brazil,Miami,United States,Miami Stadium,32.3,25.6,1.7,15.3,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=25.958&longitude=-80.2389&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-24&end_date=2026-06-24",2026-06-23T05:25:09.721Z
2026-WC-GS-054,2026-06-24,Morocco,Haiti,Atlanta,United States,Mercedes-Benz Stadium,31.1,17.1,0,10.5,Open-Meteo forecast API,"https://api.open-meteo.com/v1/forecast?latitude=33.7554&longitude=-84.4008&daily=temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max&timezone=auto&start_date=2026-06-24&end_date=2026-06-24",2026-06-23T05:25:09.721Z
